DiaChi,chieuDai,chieuNgang,dienTich,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Vườn Chuối, Phường 4, Quận 3, Tp Hồ Chí Minh",15.64 m,5 m,78.2 m²,,"- 35,17 triệu/m²",4 phòng,4.0,4 phòng,Nhà phố liền kề,Đã có sổ,,,Nội thất đầy đủ,"2,75 tỷ"
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",13 m,4 m,50 m²,135 m²,- 91 triệu/m²,4 phòng,3.0,5 phòng,Nhà phố liền kề,Đã có sổ,Hẻm xe hơi,Tây Bắc,,"4,55 tỷ"
"Khu Dân Cư Lý Chiêu Hoàng., Phường 10, Quận 6, Tp Hồ Chí Minh",16 m,4 m,64 m²,64 m²,"- 103,12 triệu/m²",2 phòng,2.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"6,6 tỷ"
"Đường số 4, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",,,60 m²,,"- 70,83 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"4,25 tỷ"
"Đường Nguyễn Duy Cung, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",,,52 m²,,- 100 triệu/m²,3 phòng,,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"5,2 tỷ"
"Đường Lê Thúc Hoạch, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",11.2 m,5 m,56 m²,56 m²,"- 62,50 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"3,5 tỷ"
"Đường Bình Long, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",10 m,3 m,30 m²,52.4 m²,"- 56,67 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"1,7 tỷ"
"144/28A, Đường Số 6, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",23 m,4 m,92 m²,276 m²,"- 66,85 triệu/m²",4 phòng,3.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây,Nội thất đầy đủ,"6,15 tỷ"
"Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",,,90 m²,,"- 48,89 triệu/m²",2 phòng,1.0,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,4 tỷ"
"Đường số 7, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",21 m,6 m,126 m²,,"- 75,40 triệu/m²",5 phòng,,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"9,5 tỷ"
"Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh",37 m,8.1 m,300 m²,510 m²,"- 58,33 triệu/m²",8 phòng,1.0,6 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Tây Nam,Nội thất đầy đủ,"17,5 tỷ"
"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",12 m,4 m,40 m²,,"- 91,25 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,,,"3,65 tỷ"
"Đường Phạm Văn Chí, Phường 8, Quận 6, Tp Hồ Chí Minh",11 m,4 m,44 m²,,"- 154,55 triệu/m²",4 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,8 tỷ"
"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",16 m,4 m,64 m²,,"- 34,38 triệu/m²",3 phòng,,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"2,2 tỷ"
"Hồng Bàng, Phường 1, Quận 5, Tp Hồ Chí Minh",15 m,3.4 m,50 m²,,- 164 triệu/m²,4 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông,Nội thất đầy đủ,"8,2 tỷ"
"Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",,4 m,48 m²,,"- 120,83 triệu/m²",6 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,8 tỷ"
"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",27 m,5 m,135 m²,135 m²,- 10 triệu/m²,3 phòng,1.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,"Nhà nở hậu,Nhà chưa hoàn công,Hiện trạng khác,Hẻm xe hơi",,Nội thất đầy đủ,"1,35 tỷ"
"Đường Nguyễn Thị Minh Khai, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",,,36 m²,,"- 249,72 triệu/m²",4 phòng,5.0,,"Nhà ngõ, hẻm",Đã có sổ,,Đông Nam,,"8,99 tỷ"
"Đường Phạm Hữu Lầu, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",10 m,4 m,40 m²,80 m²,"- 73,75 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Đông Nam,Hoàn thiện cơ bản,"2,95 tỷ"
"Đường Hoà Hưng, Phường 13, Quận 10, Tp Hồ Chí Minh",12.3 m,4.5 m,55.7 m²,55.7 m²,"- 54,40 triệu/m²",4 phòng,2.0,5 phòng,Nhà phố liền kề,Đã có sổ,,,Nội thất đầy đủ,"3,03 tỷ"
"Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",,4 m,51 m²,180 m²,"- 154,90 triệu/m²",6 phòng,4.0,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"7,9 tỷ"
"Đường Phú Thọ Hoà, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",14 m,3 m,42 m²,42 m²,"- 109,52 triệu/m²",3 phòng,3.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"4,6 tỷ"
"Bưng Ông Thoàn, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",15 m,5 m,75 m²,152 m²,- 114 triệu/m²,4 phòng,2.0,5 phòng,Nhà phố liền kề,Đã có sổ,,Đông Bắc,Bàn giao thô,"8,55 tỷ"
"Đường Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",,,70 m²,,"- 78,57 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"5,5 tỷ"
"81 đường 702 hồng bàng phường 1 quận 11, Đường Hồng Bàng, Phường 1, Quận 11, Tp Hồ Chí Minh",15 m,3.4 m,49 m²,165 m²,"- 167,35 triệu/m²",4 phòng,3.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Đông,Nội thất đầy đủ,"8,2 tỷ"
"Đường Hồ Văn Tắng, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh",18 m,5 m,90 m²,160 m²,"- 13,89 triệu/m²",3 phòng,1.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,,Bắc,Hoàn thiện cơ bản,"1,25 tỷ"
"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",12 m,4.5 m,54 m²,54 m²,"- 59,07 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Không có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"3,19 tỷ"
"Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",,,45 m²,,"- 164,22 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"7,39 tỷ"
"Đường Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",14 m,4 m,56 m²,218 m²,"- 139,29 triệu/m²",5 phòng,4.0,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất cao cấp,"7,8 tỷ"
"Hẻm 55 Thành Mỹ, Phường 8, Quận Tân Bình, Tp Hồ Chí Minh",20.4 m,5 m,102 m²,102 m²,"- 137,25 triệu/m²",4 phòng,2.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Hoàn thiện cơ bản,14 tỷ
"Đường Nguyễn Thị Tràng, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",5 m,3.5 m,17.5 m²,,"- 39,43 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,,,,690 triệu
"Đường Số 11, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",23 m,4 m,93 m²,,"- 82,80 triệu/m²",4 phòng,,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"7,7 tỷ"
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",16 m,4 m,64 m²,225 m²,"- 85,94 triệu/m²",5 phòng,4.0,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Đông Nam,Nội thất đầy đủ,"5,5 tỷ"
"18, Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",20 m,10.5 m,210 m²,413 m²,"- 190,48 triệu/m²",5 phòng,5.0,,Nhà biệt thự,Đã có sổ,,,,40 tỷ
"Đường Thạch Lam, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",21 m,4 m,81 m²,,"- 85,19 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"6,9 tỷ"
"Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",15 m,4 m,58 m²,,"- 99,83 triệu/m²",4 phòng,,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Nam,Nội thất cao cấp,"5,79 tỷ"
"Đường 2, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,4 m,62 m²,62 m²,"- 62,42 triệu/m²",2 phòng,,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"3,87 tỷ"
"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",20.5 m,14 m,279 m²,,"- 44,80 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"12,5 tỷ"
"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",7 m,4 m,28 m²,20 m²,"- 89,29 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"2,5 tỷ"
"Đường số 21, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",9 m,4 m,36 m²,,- 165 triệu/m²,3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,94 tỷ"
"Kế f8/9, Đường 6B, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh",15 m,4 m,60 m²,90 m²,"- 27,50 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông,Hoàn thiện cơ bản,"1,65 tỷ"
"Đường số 5, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",6 m,9.5 m,50 m²,84 m²,"- 77,36 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,Đông Nam,Nội thất đầy đủ,"3,868 tỷ"
"Đường số 11, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",,,32 m²,,"- 123,44 triệu/m²",5 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"3,95 tỷ"
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",14 m,4 m,55 m²,180 m²,"- 99,45 triệu/m²",3 phòng,,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"5,47 tỷ"
"314/14, Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",11 m,5 m,55 m²,,"- 84,55 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Đông Bắc,Nội thất đầy đủ,"4,65 tỷ"
Đường Hoàng Văn Thụ,12 m,4 m,45 m²,90 m²,"- 113,33 triệu/m²",2 phòng,2.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"5,1 tỷ"
"Đường Tô Ngọc Vân, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,,58 m²,,"- 72,41 triệu/m²",2 phòng,,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,,,"4,2 tỷ"
"Đường Trần Đại Nghĩa, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,5 m,100 m²,100 m²,"- 8,50 triệu/m²",3 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất đầy đủ,850 triệu
"hương lộ 11, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh",16 m,5 m,80 m²,80 m²,"- 11,25 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Hoàn thiện cơ bản,900 triệu
"835c, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,5 m,100 m²,100 m²,- 19 triệu/m²,4 phòng,1.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"1,9 tỷ"
"Đường Gò Xoài, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",18 m,4 m,72 m²,68.2 m²,"- 90,28 triệu/m²",5 phòng,2.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông Nam,Hoàn thiện cơ bản,"6,5 tỷ"
"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",9 m,6 m,52.2 m²,100 m²,"- 85,25 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông Nam,Nội thất đầy đủ,"4,45 tỷ"
"Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",15 m,6 m,90 m²,,- 120 triệu/m²,5 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"10,8 tỷ"
"106//, Đường Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",50 m,40 m,2000 m²,,- 125 triệu/m²,2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,250 tỷ
Đường số 22,17 m,4 m,70 m²,200 m²,"- 142,86 triệu/m²",4 phòng,3.0,6 phòng,Nhà phố liền kề,Đã có sổ,Hẻm xe hơi,Tây Nam,Nội thất đầy đủ,10 tỷ
"Đường Huỳnh Văn Bánh, Phường 15, Quận Phú Nhuận, Tp Hồ Chí Minh",8 m,3 m,24 m²,42 m²,"- 114,58 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Hoàn thiện cơ bản,"2,75 tỷ"
"Him Lam, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",16.2 m,5 m,81 m²,290.8 m²,"- 212,35 triệu/m²",5 phòng,,5 phòng,Nhà phố liền kề,Đã có sổ,,,,"17,2 tỷ"
"Đường Âu Cơ, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",8 m,2.5 m,18 m²,36 m²,"- 161,11 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"2,9 tỷ"
"Him Lam, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",16.2 m,5 m,81 m²,290.8 m²,"- 212,35 triệu/m²",5 phòng,,5 phòng,Nhà phố liền kề,Đã có sổ,,,,"17,2 tỷ"
"Đường Âu Cơ, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",8 m,2.5 m,18 m²,36 m²,"- 161,11 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"2,9 tỷ"
"Thạnh Xuân, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",13 m,15 m,197 m²,200 m²,"- 28,43 triệu/m²",5 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,6 tỷ"
"Đường Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",26 m,4 m,103 m²,120 m²,"- 39,81 triệu/m²",5 phòng,,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"4,1 tỷ"
"Đường số 8, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,,20 m²,,"- 97,50 triệu/m²",2 phòng,2.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"1,95 tỷ"
"hÒA HƯNG, Phường 13, Quận 10, Tp Hồ Chí Minh",,,30 m²,,"- 173,33 triệu/m²",4 phòng,,,Nhà phố liền kề,Đã có sổ,,,,"5,2 tỷ"
"Đường Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",,,70 m²,,"- 77,14 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"5,4 tỷ"
"Trung Sơn, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,6 m,120 m²,,"- 291,67 triệu/m²",nhiều hơn 10 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,35 tỷ
"Đường Ba Tháng Hai, Phường 11, Quận 10, Tp Hồ Chí Minh",,,29 m²,,"- 241,38 triệu/m²",3 phòng,3.0,,Nhà phố liền kề,Đã có sổ,,Đông Bắc,,7 tỷ
"Đường Liên Tổ 40-42-43, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh",15 m,4 m,61 m²,60 m²,"- 13,61 triệu/m²",3 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây,Hoàn thiện cơ bản,830 triệu
"Đường số 8, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",11.5 m,5.2 m,58 m²,170 m²,"- 108,62 triệu/m²",3 phòng,,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,3 tỷ"
"Đường Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",7 m,4 m,27 m²,27 m²,"- 103,70 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"2,8 tỷ"
"Đường Đại Nghĩa, Phường 6, Quận Tân Bình, Tp Hồ Chí Minh",17.3 m,5 m,80 m²,,"- 108,75 triệu/m²",8 phòng,4.0,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"8,7 tỷ"
"Phạm Huy Thông P6, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",18 m,4.2 m,69 m²,300 m²,"- 152,17 triệu/m²",5 phòng,4.0,6 phòng,Nhà phố liền kề,Đã có sổ,,,Nội thất cao cấp,"10,5 tỷ"
"Đường Khuông Việt, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh",10 m,4 m,40 m²,,"- 122,50 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,9 tỷ"
"18, Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",20 m,5 m,100 m²,373 m²,- 180 triệu/m²,6 phòng,4.0,,Nhà phố liền kề,Đã có sổ,,,,18 tỷ
"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12.3 m,4 m,49.2 m²,49.2 m²,"- 93,50 triệu/m²",2 phòng,,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Bàn giao thô,"4,6 tỷ"
"Đường Điện Biên Phủ, Phường 17, Quận Bình Thạnh, Tp Hồ Chí Minh",7.2 m,3 m,21.3 m²,35.4 m²,"- 178,40 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"3,8 tỷ"
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",12 m,4.3 m,50 m²,,- 138 triệu/m²,4 phòng,4.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,9 tỷ"
"Đường Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,42 m²,,"- 130,95 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,5 tỷ"
"Đường An Phú Đông 25, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",34 m,4 m,134 m²,,"- 39,55 triệu/m²",3 phòng,1.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Nhà nở hậu,,,"5,3 tỷ"
"Đường Khuông Việt, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh",15 m,4 m,60 m²,,"- 126,67 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"7,6 tỷ"
"Đường Thanh Niên, Xã Phạm Văn Hai, Huyện Bình Chánh, Tp Hồ Chí Minh",10 m,4 m,40 m²,80 m²,"- 7,38 triệu/m²",2 phòng,,2 phòng,Nhà phố liền kề,Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,295 triệu
"Nhà Hẻm 34, Đường Nguyễn Duy, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh",15 m,3.3 m,45 m²,75.3 m²,"- 97,78 triệu/m²",3 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây Nam,Hoàn thiện cơ bản,"4,4 tỷ"
"Đường Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",11 m,3 m,30.5 m²,,"- 170,49 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,2 tỷ"
"254/15, Đường Liên khu 4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",15 m,4 m,60 m²,197 m²,"- 91,67 triệu/m²",5 phòng,4.0,6 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông,Hoàn thiện cơ bản,"5,5 tỷ"
"Đường Chương Dương, Phường Linh Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",10 m,4.2 m,37 m²,63 m²,"- 106,76 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây Bắc,Hoàn thiện cơ bản,"3,95 tỷ"
"Đường Đào Sư Tích, Xã Phước Lộc, Huyện Nhà Bè, Tp Hồ Chí Minh",31 m,5.6 m,223 m²,100 m²,"- 49,33 triệu/m²",2 phòng,1.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Nhà nở hậu,Đông,Bàn giao thô,11 tỷ
"Đường số 5F, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",6 m,4 m,24 m²,50 m²,"- 170,83 triệu/m²",1 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây,,"4,1 tỷ"
"Đường Lê Công Phép, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",16 m,4 m,64 m²,,"- 104,69 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"6,7 tỷ"
"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",,,40 m²,,"- 73,75 triệu/m²",2 phòng,2.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"2,95 tỷ"
"Đường Dương Công Khi, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",46 m,20 m,960 m²,,"- 19,79 triệu/m²",nhiều hơn 10 phòng,2.0,Nhiều hơn 6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,19 tỷ
"HT17, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",5 m,5 m,25 m²,75 m²,- 110 triệu/m²,3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Hoàn thiện cơ bản,"2,75 tỷ"
"Đường B, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",20 m,5 m,100 m²,300 m²,- 128 triệu/m²,5 phòng,4.0,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây,Hoàn thiện cơ bản,"12,8 tỷ"
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",15 m,4 m,60 m²,,"- 91,17 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"5,47 tỷ"
"Đường Nguyễn Văn Lượng, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",,,55.1 m²,,"- 99,46 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"5,48 tỷ"
"Đường Trường Chinh, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh",12 m,5 m,60 m²,,"- 108,33 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,5 tỷ"
"Đường Nguyễn Thị Đặng, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",13 m,5 m,64 m²,163 m²,"- 87,34 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"5,59 tỷ"
"Đường Bình Trị Đông, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",12 m,4 m,48 m²,80 m²,"- 80,62 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"3,87 tỷ"
